City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
283,Santa Isabel Do Rio Negro,BR,77.2,8/28/2020 22:54,-0.41,-65.02,Hotel GSA
284,Dunedin,NZ,50.59,8/28/2020 22:54,-45.87,170.5,Scenic Hotel Southern Cross
285,Bhainsdehi,IN,69.58,8/28/2020 22:59,21.65,77.63,Prince Rathore HOME
286,Camotan,GT,80.42,8/28/2020 22:59,14.82,-89.37,Beneficio de cafe aldea brasilar
287,Shelburne,CA,69.8,8/28/2020 22:59,44.08,-80.2,The Retreat at the Farm
288,Bang Saphan,TH,76.24,8/28/2020 22:59,11.21,99.51,Ladawan Boutique Hotel
289,Adrar,MR,97.07,8/28/2020 22:59,20.5,-10.07,
290,Esperance,AU,50.0,8/28/2020 22:58,-33.87,121.9,Hospitality Esperance
291,Lasa,IT,61.0,8/28/2020 22:59,46.62,10.7,Pension Feldgärtenhof
292,Bambous Virieux,MU,71.6,8/28/2020 22:59,-20.34,57.76,Casa Tia Villa
293,Kavaratti,IN,81.7,8/28/2020 22:56,10.57,72.64,Bismillah Hotel And Lodging
294,Tevriz,RU,57.52,8/28/2020 22:59,57.51,72.4,Postoyalyy Dvor
